dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
manybugs,libtiff-2007-08-24-827b6bc-22da1d6,libtiff_2007_08_24__TIFFMergeFields__line326_371,batch06__libtiff-2007-08-24-827b6bc-22da1d6__TIFFMergeFields__libtiff_2007_08_24_TIFFMergeFields_line326_371,_TIFFMergeFields,m04,2082fcddae3b9b83ac196cdffc1bc3961538875927dca26043b0ef4735a0f84b,SUCCESS,FAIL,True,True,harness/executions/c/llm/batch06/batch06__libtiff-2007-08-24-827b6bc-22da1d6__TIFFMergeFields__libtiff_2007_08_24_TIFFMergeFields_line326_371/execution/m04.log
manybugs,libtiff-2007-08-24-827b6bc-22da1d6,libtiff_2007_08_24__TIFFMergeFields__line326_371,batch06__libtiff-2007-08-24-827b6bc-22da1d6__TIFFMergeFields__libtiff_2007_08_24_TIFFMergeFields_line326_371,_TIFFMergeFields,m01,bbae066adc1b8b14d924c25dd9bfc7b0b90f75da52de8a3d806c577c08b2870a,SUCCESS,PASS,False,True,harness/executions/c/llm/batch06/batch06__libtiff-2007-08-24-827b6bc-22da1d6__TIFFMergeFields__libtiff_2007_08_24_TIFFMergeFields_line326_371/execution/m01.log
manybugs,libtiff-2007-08-24-827b6bc-22da1d6,libtiff_2007_08_24__TIFFMergeFields__line326_371,batch06__libtiff-2007-08-24-827b6bc-22da1d6__TIFFMergeFields__libtiff_2007_08_24_TIFFMergeFields_line326_371,_TIFFMergeFields,m06,3861a5aca63109aa44fb848d0b70a8750c49d6b7b513c1381fb7074865a6114a,SUCCESS,FAIL,True,True,harness/executions/c/llm/batch06/batch06__libtiff-2007-08-24-827b6bc-22da1d6__TIFFMergeFields__libtiff_2007_08_24_TIFFMergeFields_line326_371/execution/m06.log
