dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Math_1,math_1f_recurseIntersection__line600_628,batch08__Math_1__recurseIntersection__math_1f_recurseIntersection_line600,recurseIntersection,m04,676e5911d1c57e1f9af4a074771ba2e9ee24bbc425c9b44d0f44d02b37294985,FAIL,NOT_RUN,False,False,harness/executions/runs/batch08__Math_1__recurseIntersection__math_1f_recurseIntersection_line600/execution/m04.log
defects4j,Math_1,math_1f_recurseIntersection__line600_628,batch08__Math_1__recurseIntersection__math_1f_recurseIntersection_line600,recurseIntersection,m06,62b0931907e7f4a7b6741630de3c72fb6d047f59d31a4d5e53f24932b7f884fe,SUCCESS,FAIL,True,True,harness/executions/runs/batch08__Math_1__recurseIntersection__math_1f_recurseIntersection_line600/execution/m06.log
defects4j,Math_1,math_1f_recurseIntersection__line600_628,batch08__Math_1__recurseIntersection__math_1f_recurseIntersection_line600,recurseIntersection,m02,5187fa7f599bfd05bc07b9950f72b8ee29991e6025e512e479f935a01dd82f6b,FAIL,NOT_RUN,False,False,harness/executions/runs/batch08__Math_1__recurseIntersection__math_1f_recurseIntersection_line600/execution/m02.log
defects4j,Math_1,math_1f_recurseIntersection__line600_628,batch08__Math_1__recurseIntersection__math_1f_recurseIntersection_line600,recurseIntersection,m05,e1a9e704ecf16b66b7e7ae5b07eaadcdbbee3f72044bff94b267e01a17150fc3,SUCCESS,FAIL,True,True,harness/executions/runs/batch08__Math_1__recurseIntersection__math_1f_recurseIntersection_line600/execution/m05.log
defects4j,Math_1,math_1f_recurseIntersection__line600_628,batch08__Math_1__recurseIntersection__math_1f_recurseIntersection_line600,recurseIntersection,m08,73912ca4d06e0c218b2874d2c1ca3d4949a6ce58ef2ea25c51fed238eb1e9ce7,FAIL,NOT_RUN,False,False,harness/executions/runs/batch08__Math_1__recurseIntersection__math_1f_recurseIntersection_line600/execution/m08.log
