dataset,subject_id,target_id,run_name,function_name,mutant_id,mutant_hash,build_status,test_status,killed,executable,log_path
defects4j,Math_1,math_1f_recurseIntersection__line600_628,batch04__Math_1__recurseIntersection__math_1f_recurseIntersection_line600,recurseIntersection,m02,c79b6e5951bcb7daace172bd8c5f11b0bc25561d52c0be43b404d7ff19ae9425,FAIL,NOT_RUN,False,False,harness/executions/runs/batch04__Math_1__recurseIntersection__math_1f_recurseIntersection_line600/execution/m02.log
defects4j,Math_1,math_1f_recurseIntersection__line600_628,batch04__Math_1__recurseIntersection__math_1f_recurseIntersection_line600,recurseIntersection,m05,07ee32935a01bb6b741f3e2909d59aa0056648ef339425c5d15f5e94c8f98e6d,SUCCESS,PASS,False,True,harness/executions/runs/batch04__Math_1__recurseIntersection__math_1f_recurseIntersection_line600/execution/m05.log
defects4j,Math_1,math_1f_recurseIntersection__line600_628,batch04__Math_1__recurseIntersection__math_1f_recurseIntersection_line600,recurseIntersection,m08,5c1926cef9fbf523252316f1214b5905507291ef2d83e8eb00014659a36ec9f5,SUCCESS,PASS,False,True,harness/executions/runs/batch04__Math_1__recurseIntersection__math_1f_recurseIntersection_line600/execution/m08.log
defects4j,Math_1,math_1f_recurseIntersection__line600_628,batch04__Math_1__recurseIntersection__math_1f_recurseIntersection_line600,recurseIntersection,m01,c1b47f8347e7075c3b6d20850367e97836604d3a8ea26ed2512802e90ca6b352,SUCCESS,FAIL,True,True,harness/executions/runs/batch04__Math_1__recurseIntersection__math_1f_recurseIntersection_line600/execution/m01.log
defects4j,Math_1,math_1f_recurseIntersection__line600_628,batch04__Math_1__recurseIntersection__math_1f_recurseIntersection_line600,recurseIntersection,m03,8ada1ca2c5ba4044daf0e81e4ef2c5d20c9d54bdcd8f170a483bdee9ebc3d4bc,SUCCESS,FAIL,True,True,harness/executions/runs/batch04__Math_1__recurseIntersection__math_1f_recurseIntersection_line600/execution/m03.log
defects4j,Math_1,math_1f_recurseIntersection__line600_628,batch04__Math_1__recurseIntersection__math_1f_recurseIntersection_line600,recurseIntersection,m06,12affe8ac058f357765b4fd5e39fa86ae92613b762316312ccafaeb1dfc50759,SUCCESS,FAIL,True,True,harness/executions/runs/batch04__Math_1__recurseIntersection__math_1f_recurseIntersection_line600/execution/m06.log
