group,mutants,killed_mutants,unique_target_tests,unique_failing_tests,unique_error_tests,kill_events,source_mode,wide_csv,long_csv
batch01__Cli_7__process__cli_7f_process_line156,2,1,32,1,0,1,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Cli_7__process__cli_7f_process_line156_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Cli_7__process__cli_7f_process_line156_kill_matrix_long.csv
batch01__Cli_7__wrap__cli_7f_wrap_line340,7,6,26,26,0,111,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Cli_7__wrap__cli_7f_wrap_line340_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Cli_7__wrap__cli_7f_wrap_line340_kill_matrix_long.csv
batch01__Closure_106__precedence__closure_106f_precedence_line605,6,4,1892,1886,0,1890,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_106__precedence__closure_106f_precedence_line605_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_106__precedence__closure_106f_precedence_line605_kill_matrix_long.csv
batch01__Closure_125__precedenceWithDefault__closure_125f_precedenceWithDefault_line1179,8,0,3533,0,0,0,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_125__precedenceWithDefault__closure_125f_precedenceWithDefault_line1179_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_125__precedenceWithDefault__closure_125f_precedenceWithDefault_line1179_kill_matrix_long.csv
batch01__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180,7,0,1,0,0,0,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_1__biggestPowerTen__closure_1f_biggestPowerTen_line180_kill_matrix_long.csv
batch01__Closure_44__bytecodeName__closure_44f_bytecodeName_line179,3,0,1,0,0,0,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_44__bytecodeName__closure_44f_bytecodeName_line179_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_44__bytecodeName__closure_44f_bytecodeName_line179_kill_matrix_long.csv
batch01__Closure_44__findInstanceIdInfo__closure_44f_findInstanceIdInfo_line139,8,0,1,0,0,0,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_44__findInstanceIdInfo__closure_44f_findInstanceIdInfo_line139_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_44__findInstanceIdInfo__closure_44f_findInstanceIdInfo_line139_kill_matrix_long.csv
batch01__Closure_44__findPrototypeId__closure_44f_findPrototypeId_line459,7,0,1,0,0,0,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_44__findPrototypeId__closure_44f_findPrototypeId_line459_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_44__findPrototypeId__closure_44f_findPrototypeId_line459_kill_matrix_long.csv
batch01__Closure_44__hasSideEffects__closure_44f_hasSideEffects_line950,6,0,1,0,0,0,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_44__hasSideEffects__closure_44f_hasSideEffects_line950_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_44__hasSideEffects__closure_44f_hasSideEffects_line950_kill_matrix_long.csv
batch01__Closure_44__visit__closure_44f_visit_line381,8,0,1,0,0,0,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_44__visit__closure_44f_visit_line381_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_44__visit__closure_44f_visit_line381_kill_matrix_long.csv
batch01__Closure_46__mayBeExpression__closure_46f_mayBeExpression_line487,6,3,100,72,0,78,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_46__mayBeExpression__closure_46f_mayBeExpression_line487_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_46__mayBeExpression__closure_46f_mayBeExpression_line487_kill_matrix_long.csv
batch01__Closure_47__tokenToName__closure_47f_tokenToName_line1461,8,1,656,27,0,27,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_47__tokenToName__closure_47f_tokenToName_line1461_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Closure_47__tokenToName__closure_47f_tokenToName_line1461_kill_matrix_long.csv
batch01__Codec_11__pattern__codec_11f_pattern_line405,8,0,11,0,0,0,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_11__pattern__codec_11f_pattern_line405_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_11__pattern__codec_11f_pattern_line405_kill_matrix_long.csv
batch01__Codec_13__encode__codec_13f_encode_line385,7,4,13,13,0,29,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_13__encode__codec_13f_encode_line385_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_13__encode__codec_13f_encode_line385_kill_matrix_long.csv
batch01__Codec_13__handleG__codec_13f_handleG_line408,3,2,5,3,0,4,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_13__handleG__codec_13f_handleG_line408_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_13__handleG__codec_13f_handleG_line408_kill_matrix_long.csv
batch01__Codec_13__handleJ__codec_13f_handleJ_line514,3,2,8,3,0,4,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_13__handleJ__codec_13f_handleJ_line514_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_13__handleJ__codec_13f_handleJ_line514_kill_matrix_long.csv
batch01__Codec_13__handleS__codec_13f_handleS_line597,8,5,8,5,0,14,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_13__handleS__codec_13f_handleS_line597_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_13__handleS__codec_13f_handleS_line597_kill_matrix_long.csv
batch01__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118,5,5,19,17,0,24,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_17__transcodeRemaining__codec_17f_transcodeRemaining_line118_kill_matrix_long.csv
batch01__Codec_1__handleC__codec_1f_handleC_line281,6,4,4,3,0,7,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_1__handleC__codec_1f_handleC_line281_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_1__handleC__codec_1f_handleC_line281_kill_matrix_long.csv
batch01__Codec_1__handleG__codec_1f_handleG_line418,5,2,3,2,0,3,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_1__handleG__codec_1f_handleG_line418_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_1__handleG__codec_1f_handleG_line418_kill_matrix_long.csv
batch01__Codec_1__handleJ__codec_1f_handleJ_line526,7,2,5,2,0,3,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_1__handleJ__codec_1f_handleJ_line526_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_1__handleJ__codec_1f_handleJ_line526_kill_matrix_long.csv
batch01__Codec_1__handleS__codec_1f_handleS_line612,4,0,6,0,0,0,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_1__handleS__codec_1f_handleS_line612_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_1__handleS__codec_1f_handleS_line612_kill_matrix_long.csv
batch01__Codec_9__colognePhonetic__codec_9f_colognePhonetic_line293,7,7,3,2,0,11,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_9__colognePhonetic__codec_9f_colognePhonetic_line293_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_9__colognePhonetic__codec_9f_colognePhonetic_line293_kill_matrix_long.csv
batch01__Codec_9__read__codec_9f_read_line76,7,3,8,5,0,7,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_9__read__codec_9f_read_line76_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Codec_9__read__codec_9f_read_line76_kill_matrix_long.csv
batch01__Collections_17__put__collections_17f_put_line254,6,3,13,13,0,19,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Collections_17__put__collections_17f_put_line254_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Collections_17__put__collections_17f_put_line254_kill_matrix_long.csv
batch01__Collections_17__size__collections_17f_size_line1027,3,2,15,15,0,15,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Collections_17__size__collections_17f_size_line1027_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Collections_17__size__collections_17f_size_line1027_kill_matrix_long.csv
batch01__Collections_1__containsKey__collections_1f_containsKey_line186,5,1,12,2,0,2,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Collections_1__containsKey__collections_1f_containsKey_line186_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Collections_1__containsKey__collections_1f_containsKey_line186_kill_matrix_long.csv
batch01__Collections_1__put__collections_1f_put_line255,5,1,12,1,0,1,test_results.csv,harness/experiments/target_coverage/kill_matrices/batch01__Collections_1__put__collections_1f_put_line255_kill_matrix.csv,harness/experiments/target_coverage/kill_matrices/batch01__Collections_1__put__collections_1f_put_line255_kill_matrix_long.csv
