batch_id,run_name,dataset,project,subject,version,target_id,function,requested_mutants,accepted_mutants,rejected_mutants,acceptance_rate,executed_total_mutants,build_successes,build_success_rate,executable_mutants,executable_yield,killed_mutants,survived_mutants,mutation_score,top_rejection_reason,top_rejection_count
batch01,batch01__Csv_1__simpleTokenLexer,unknown,Csv,Csv_1,unknown,csv_1f_simpleTokenLexer__line137,simpleTokenLexer,8,5,3,0.625,5,5,1.0,5,1.0,4,1,0.8,non_executable_structural_change: unclosed delimiter(s): {,2
batch01,batch01__Csv_1__read,unknown,Csv,Csv_1,unknown,csv_1f_read__line79,read,8,3,5,0.375,3,3,1.0,3,1.0,2,1,0.6666666666666666,non_executable_structural_change: block_structure_change,4
batch01,batch01__Csv_1__encapsulatedTokenLexer,defects4j,Csv,Csv_1,f,csv_1f_encapsulatedTokenLexer__line181,encapsulatedTokenLexer,8,0,8,0.0,0,0,0.0,0,0.0,0,0,0.0,,0
batch01,batch01__Csv_1__printAndEscape,unknown,Csv,Csv_1,unknown,csv_1f_printAndEscape__line150,printAndEscape,8,5,3,0.625,5,5,1.0,5,1.0,1,4,0.2,non_executable_structural_change: block_structure_change,2
batch01,batch01__Csv_1__printComment,unknown,Csv,Csv_1,unknown,csv_1f_printComment__line100,printComment,8,4,4,0.5,4,3,0.75,3,0.75,3,0,1.0,non_executable_structural_change: block_structure_change,2
batch01,batch01__Csv_1__initializeHeader,unknown,Csv,Csv_1,unknown,csv_1f_initializeHeader__line169,initializeHeader,8,6,2,0.75,6,5,0.8333333333333334,5,0.8333333333333334,4,1,0.8,non_executable_structural_change: block_structure_change,2
batch01,batch01__Csv_1__readEscape,defects4j,Csv,Csv_1,f,csv_1f_readEscape__line63,readEscape,8,0,8,0.0,0,0,0.0,0,0.0,0,0,0.0,,0
batch01,batch01__Csv_1__validate,unknown,Csv,Csv_1,unknown,csv_1f_validate__line175,validate,8,5,3,0.625,5,5,1.0,5,1.0,5,0,1.0,non_executable_change,3
batch01,batch01__Csv_1__trimTrailingSpaces,unknown,Csv,Csv_1,unknown,csv_1f_trimTrailingSpaces__line82,trimTrailingSpaces,8,8,0,1.0,8,8,1.0,8,1.0,5,3,0.625,,0
batch01,batch01__Csv_1__iterator,unknown,Csv,Csv_1,unknown,csv_1f_iterator__line199,iterator,8,5,3,0.625,5,5,1.0,5,1.0,5,0,1.0,non_executable_structural_change: block_structure_change,2
