project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,org.apache.commons.cli.TestHelpFormatter::testAutomaticUsage,org.apache.commons.cli.bug.BugCLI18Test::testCLI18
Cli,Cli_1,batch01__Cli_1__appendOption__cli_1f_appendOption_line530,cli_1f_appendOption__line530_559,appendOption,m01,8866082148da3b8a4e237ef52eed2ffc463e5101aa34a873b4c7a52c11f7b888,SUCCESS,FAIL,True,True,True,2,2,1,0,0,0,test_results.csv,harness/executions/runs/batch01__Cli_1__appendOption__cli_1f_appendOption_line530/execution/m01.log,FAIL,PASS
Cli,Cli_1,batch01__Cli_1__appendOption__cli_1f_appendOption_line530,cli_1f_appendOption__line530_559,appendOption,m02,aa094cd9229e1e70bd57b54829e04a9c3cfec92222896270bc48cd70f9c55572,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/runs/batch01__Cli_1__appendOption__cli_1f_appendOption_line530/execution/m02.log,PASS,PASS
Cli,Cli_1,batch01__Cli_1__appendOption__cli_1f_appendOption_line530,cli_1f_appendOption__line530_559,appendOption,m03,61c88e52b1221a51fff3dd2fc0645149cdbea04240ab4315e6065aa4c62f0e02,SUCCESS,FAIL,True,True,True,2,2,1,0,0,0,test_results.csv,harness/executions/runs/batch01__Cli_1__appendOption__cli_1f_appendOption_line530/execution/m03.log,FAIL,PASS
Cli,Cli_1,batch01__Cli_1__appendOption__cli_1f_appendOption_line530,cli_1f_appendOption__line530_559,appendOption,m04,8fb2f9ad64ad794452cff89300a021fb96ec76965389ef44c7de97ea045d1f12,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/runs/batch01__Cli_1__appendOption__cli_1f_appendOption_line530/execution/m04.log,PASS,PASS
Cli,Cli_1,batch01__Cli_1__appendOption__cli_1f_appendOption_line530,cli_1f_appendOption__line530_559,appendOption,m05,44214ff2e76ba74b2506656889e7fa7051144d1bc9c6a598fff7e88a3bb12e37,SUCCESS,FAIL,True,True,True,2,2,1,0,0,0,test_results.csv,harness/executions/runs/batch01__Cli_1__appendOption__cli_1f_appendOption_line530/execution/m05.log,FAIL,PASS
Cli,Cli_1,batch01__Cli_1__appendOption__cli_1f_appendOption_line530,cli_1f_appendOption__line530_559,appendOption,m06,9abc6d8db52448fccaf3a24a7d125a3b60a56c8a5906792c9917de2c1fd9e2c0,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/runs/batch01__Cli_1__appendOption__cli_1f_appendOption_line530/execution/m06.log,PASS,PASS
Cli,Cli_1,batch01__Cli_1__appendOption__cli_1f_appendOption_line530,cli_1f_appendOption__line530_559,appendOption,m07,31c5685eeb86ce2119760bda04f07c3560a0b5133d02b6cf11feb401cf08ec35,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/runs/batch01__Cli_1__appendOption__cli_1f_appendOption_line530/execution/m07.log,PASS,PASS
Cli,Cli_1,batch01__Cli_1__appendOption__cli_1f_appendOption_line530,cli_1f_appendOption__line530_559,appendOption,m08,28c7dc1429f658a59850c26cd49f6b9a418e415823eaa407fe4c81ecc52ff268,SUCCESS,PASS,False,False,True,2,2,0,0,0,0,test_results.csv,harness/executions/runs/batch01__Cli_1__appendOption__cli_1f_appendOption_line530/execution/m08.log,PASS,PASS
